timestamp, power.draw [W]
2026/07/17 17:41:33.480, 60.04 W
2026/07/17 17:41:34.480, 59.97 W
2026/07/17 17:41:35.480, 60.01 W
2026/07/17 17:41:36.480, 60.32 W
2026/07/17 17:41:37.480, 59.82 W
2026/07/17 17:41:38.480, 60.24 W
2026/07/17 17:41:39.481, 60.08 W
2026/07/17 17:41:40.481, 60.10 W
2026/07/17 17:41:41.481, 60.29 W
2026/07/17 17:41:42.481, 60.21 W
2026/07/17 17:41:43.481, 60.10 W
2026/07/17 17:41:44.481, 60.32 W
2026/07/17 17:41:45.481, 60.26 W
2026/07/17 17:41:46.481, 60.16 W
2026/07/17 17:41:47.481, 60.11 W
2026/07/17 17:41:48.482, 60.24 W
2026/07/17 17:41:49.482, 59.87 W
2026/07/17 17:41:50.482, 60.35 W
2026/07/17 17:41:51.482, 60.38 W
2026/07/17 17:41:52.482, 60.23 W
2026/07/17 17:41:53.482, 60.25 W
2026/07/17 17:41:54.482, 60.09 W
2026/07/17 17:41:55.482, 60.04 W
2026/07/17 17:41:56.483, 59.97 W
2026/07/17 17:41:57.483, 60.32 W
2026/07/17 17:41:58.483, 60.09 W
2026/07/17 17:41:59.483, 59.98 W
2026/07/17 17:42:00.483, 59.99 W
2026/07/17 17:42:01.483, 60.30 W
2026/07/17 17:42:02.483, 60.10 W
2026/07/17 17:42:03.483, 60.04 W
2026/07/17 17:42:04.484, 60.17 W
2026/07/17 17:42:05.484, 60.18 W
2026/07/17 17:42:06.484, 60.15 W
2026/07/17 17:42:07.484, 60.11 W
2026/07/17 17:42:08.484, 60.15 W
2026/07/17 17:42:09.484, 60.13 W
2026/07/17 17:42:10.484, 60.09 W
2026/07/17 17:42:11.485, 59.97 W
2026/07/17 17:42:12.485, 60.12 W
2026/07/17 17:42:13.485, 60.10 W
2026/07/17 17:42:14.485, 60.28 W
2026/07/17 17:42:15.485, 60.23 W
2026/07/17 17:42:16.485, 60.09 W
2026/07/17 17:42:17.485, 59.94 W
2026/07/17 17:42:18.485, 60.02 W
2026/07/17 17:42:19.486, 59.94 W
2026/07/17 17:42:20.486, 60.08 W
2026/07/17 17:42:21.486, 60.09 W
2026/07/17 17:42:22.486, 60.08 W
2026/07/17 17:42:23.486, 59.99 W
2026/07/17 17:42:24.486, 60.15 W
2026/07/17 17:42:25.486, 60.10 W
2026/07/17 17:42:26.486, 60.16 W
2026/07/17 17:42:27.487, 60.16 W
2026/07/17 17:42:28.487, 60.15 W
2026/07/17 17:42:29.487, 60.14 W
2026/07/17 17:42:30.487, 60.11 W
2026/07/17 17:42:31.487, 60.07 W
2026/07/17 17:42:32.487, 60.22 W
2026/07/17 17:42:33.487, 60.02 W
2026/07/17 17:42:34.487, 60.09 W
2026/07/17 17:42:35.487, 60.07 W
2026/07/17 17:42:36.488, 60.43 W
2026/07/17 17:42:37.488, 60.24 W
2026/07/17 17:42:38.488, 60.07 W
2026/07/17 17:42:39.488, 60.20 W
2026/07/17 17:42:40.488, 60.12 W
2026/07/17 17:42:41.488, 60.48 W
2026/07/17 17:42:42.488, 60.23 W
2026/07/17 17:42:43.488, 60.11 W
2026/07/17 17:42:44.489, 60.49 W
2026/07/17 17:42:45.489, 60.13 W
2026/07/17 17:42:46.489, 60.27 W
2026/07/17 17:42:47.489, 60.48 W
2026/07/17 17:42:48.489, 60.24 W
2026/07/17 17:42:49.489, 60.46 W
2026/07/17 17:42:50.489, 60.32 W
2026/07/17 17:42:51.489, 60.13 W
2026/07/17 17:42:52.489, 60.41 W
2026/07/17 17:42:53.489, 60.06 W
2026/07/17 17:42:54.490, 60.17 W
2026/07/17 17:42:55.490, 60.28 W
2026/07/17 17:42:56.490, 60.20 W
2026/07/17 17:42:57.490, 60.17 W
2026/07/17 17:42:58.490, 59.94 W
2026/07/17 17:42:59.490, 60.26 W
2026/07/17 17:43:00.490, 60.31 W
2026/07/17 17:43:01.490, 60.19 W
2026/07/17 17:43:02.490, 60.34 W
2026/07/17 17:43:03.491, 59.84 W
2026/07/17 17:43:04.491, 60.04 W
2026/07/17 17:43:05.491, 60.18 W
2026/07/17 17:43:06.491, 60.21 W
2026/07/17 17:43:07.491, 60.23 W
2026/07/17 17:43:08.491, 60.18 W
2026/07/17 17:43:09.491, 60.23 W
2026/07/17 17:43:10.491, 60.08 W
2026/07/17 17:43:11.491, 60.45 W
2026/07/17 17:43:12.491, 60.06 W
2026/07/17 17:43:13.492, 60.13 W
2026/07/17 17:43:14.492, 60.36 W
