timestamp, power.draw [W]
2026/07/24 12:16:50.751, 60.17 W
2026/07/24 12:16:51.751, 59.79 W
2026/07/24 12:16:52.751, 59.93 W
2026/07/24 12:16:53.751, 60.03 W
2026/07/24 12:16:54.751, 60.22 W
2026/07/24 12:16:55.751, 60.18 W
2026/07/24 12:16:56.751, 60.14 W
2026/07/24 12:16:57.752, 59.96 W
2026/07/24 12:16:58.752, 59.95 W
2026/07/24 12:16:59.752, 60.55 W
2026/07/24 12:17:00.752, 60.32 W
2026/07/24 12:17:01.752, 60.07 W
2026/07/24 12:17:02.752, 60.17 W
2026/07/24 12:17:03.752, 60.04 W
2026/07/24 12:17:04.752, 60.05 W
2026/07/24 12:17:05.753, 60.07 W
2026/07/24 12:17:06.753, 59.98 W
2026/07/24 12:17:07.753, 60.05 W
2026/07/24 12:17:08.753, 60.08 W
2026/07/24 12:17:09.753, 60.15 W
2026/07/24 12:17:10.753, 60.08 W
2026/07/24 12:17:11.753, 60.00 W
2026/07/24 12:17:12.753, 59.85 W
2026/07/24 12:17:13.753, 60.16 W
2026/07/24 12:17:14.754, 60.08 W
2026/07/24 12:17:15.754, 59.99 W
2026/07/24 12:17:16.754, 60.09 W
2026/07/24 12:17:17.754, 59.92 W
2026/07/24 12:17:18.754, 60.53 W
2026/07/24 12:17:19.754, 60.09 W
2026/07/24 12:17:20.754, 60.21 W
2026/07/24 12:17:21.754, 60.09 W
2026/07/24 12:17:22.754, 60.22 W
2026/07/24 12:17:23.755, 59.97 W
2026/07/24 12:17:24.755, 60.28 W
2026/07/24 12:17:25.755, 60.01 W
2026/07/24 12:17:26.755, 60.37 W
2026/07/24 12:17:27.755, 60.38 W
2026/07/24 12:17:28.755, 60.13 W
2026/07/24 12:17:29.755, 60.33 W
2026/07/24 12:17:30.755, 60.23 W
2026/07/24 12:17:31.756, 59.98 W
2026/07/24 12:17:32.756, 60.09 W
2026/07/24 12:17:33.756, 60.03 W
2026/07/24 12:17:34.756, 60.62 W
2026/07/24 12:17:35.756, 60.15 W
2026/07/24 12:17:36.756, 60.17 W
2026/07/24 12:17:37.756, 60.01 W
2026/07/24 12:17:38.756, 60.21 W
2026/07/24 12:17:39.756, 60.13 W
2026/07/24 12:17:40.757, 60.14 W
2026/07/24 12:17:41.757, 60.10 W
2026/07/24 12:17:42.757, 60.29 W
2026/07/24 12:17:43.757, 59.97 W
2026/07/24 12:17:44.757, 60.21 W
2026/07/24 12:17:45.757, 60.12 W
2026/07/24 12:17:46.757, 60.05 W
2026/07/24 12:17:47.757, 60.11 W
2026/07/24 12:17:48.757, 60.02 W
2026/07/24 12:17:49.758, 60.07 W
2026/07/24 12:17:50.758, 60.10 W
2026/07/24 12:17:51.758, 60.12 W
2026/07/24 12:17:52.758, 60.37 W
2026/07/24 12:17:53.758, 60.22 W
2026/07/24 12:17:54.758, 60.42 W
2026/07/24 12:17:55.758, 60.20 W
2026/07/24 12:17:56.758, 60.16 W
2026/07/24 12:17:57.758, 60.20 W
2026/07/24 12:17:58.758, 60.15 W
2026/07/24 12:17:59.758, 51.00 W
2026/07/24 12:18:00.759, 61.11 W
2026/07/24 12:18:01.759, 61.20 W
2026/07/24 12:18:02.759, 60.57 W
2026/07/24 12:18:03.759, 59.95 W
2026/07/24 12:18:04.759, 60.86 W
2026/07/24 12:18:05.759, 59.84 W
2026/07/24 12:18:06.759, 60.02 W
2026/07/24 12:18:07.759, 60.63 W
2026/07/24 12:18:08.759, 59.78 W
2026/07/24 12:18:09.760, 59.88 W
2026/07/24 12:18:10.760, 60.65 W
2026/07/24 12:18:11.760, 60.37 W
2026/07/24 12:18:12.760, 59.73 W
2026/07/24 12:18:13.760, 60.33 W
2026/07/24 12:18:14.760, 60.50 W
2026/07/24 12:18:15.760, 59.64 W
2026/07/24 12:18:16.760, 60.17 W
2026/07/24 12:18:17.761, 60.60 W
2026/07/24 12:18:18.761, 59.62 W
2026/07/24 12:18:19.761, 59.79 W
2026/07/24 12:18:20.761, 59.80 W
2026/07/24 12:18:21.761, 60.03 W
2026/07/24 12:18:22.761, 60.09 W
2026/07/24 12:18:23.761, 60.23 W
2026/07/24 12:18:24.761, 60.44 W
2026/07/24 12:18:25.761, 60.13 W
2026/07/24 12:18:26.761, 60.33 W
2026/07/24 12:18:27.762, 59.92 W
2026/07/24 12:18:28.762, 60.39 W
2026/07/24 12:18:29.762, 60.10 W
2026/07/24 12:18:30.762, 60.06 W
2026/07/24 12:18:31.762, 60.00 W
2026/07/24 12:18:32.762, 60.32 W
2026/07/24 12:18:33.762, 60.02 W
2026/07/24 12:18:34.762, 60.26 W
2026/07/24 12:18:35.762, 60.34 W
2026/07/24 12:18:36.762, 59.77 W
2026/07/24 12:18:37.763, 60.42 W
2026/07/24 12:18:38.763, 60.17 W
2026/07/24 12:18:39.763, 60.01 W
2026/07/24 12:18:40.763, 60.32 W
2026/07/24 12:18:41.763, 60.44 W
2026/07/24 12:18:42.763, 60.18 W
2026/07/24 12:18:43.763, 59.94 W
2026/07/24 12:18:44.763, 59.90 W
2026/07/24 12:18:45.763, 60.26 W
2026/07/24 12:18:46.763, 60.05 W
2026/07/24 12:18:47.764, 60.42 W
2026/07/24 12:18:48.764, 59.99 W
2026/07/24 12:18:49.764, 60.02 W
2026/07/24 12:18:50.764, 60.27 W
2026/07/24 12:18:51.764, 59.99 W
2026/07/24 12:18:52.764, 60.22 W
2026/07/24 12:18:53.764, 60.33 W
2026/07/24 12:18:54.764, 60.32 W
2026/07/24 12:18:55.764, 60.44 W
2026/07/24 12:18:56.764, 60.10 W
2026/07/24 12:18:57.764, 60.26 W
2026/07/24 12:18:58.765, 59.93 W
2026/07/24 12:18:59.765, 60.34 W
2026/07/24 12:19:00.765, 60.29 W
2026/07/24 12:19:01.765, 60.29 W
2026/07/24 12:19:02.765, 60.16 W
2026/07/24 12:19:03.765, 60.22 W
2026/07/24 12:19:04.765, 60.08 W
2026/07/24 12:19:05.765, 60.20 W
2026/07/24 12:19:06.765, 59.98 W
2026/07/24 12:19:07.765, 60.33 W
2026/07/24 12:19:08.766, 60.15 W
2026/07/24 12:19:09.766, 60.13 W
2026/07/24 12:19:10.766, 59.98 W
2026/07/24 12:19:11.766, 60.18 W
2026/07/24 12:19:12.766, 60.16 W
2026/07/24 12:19:13.766, 60.26 W
2026/07/24 12:19:14.766, 59.96 W
2026/07/24 12:19:15.766, 60.30 W
2026/07/24 12:19:16.766, 60.03 W
2026/07/24 12:19:17.767, 60.04 W
2026/07/24 12:19:18.767, 59.97 W
2026/07/24 12:19:19.767, 60.17 W
2026/07/24 12:19:20.767, 60.20 W
2026/07/24 12:19:21.767, 60.16 W
2026/07/24 12:19:22.767, 60.15 W
2026/07/24 12:19:23.767, 60.07 W
2026/07/24 12:19:24.768, 60.31 W
2026/07/24 12:19:25.768, 60.33 W
2026/07/24 12:19:26.768, 59.99 W
2026/07/24 12:19:27.768, 59.81 W
2026/07/24 12:19:28.768, 60.07 W
2026/07/24 12:19:29.768, 60.06 W
2026/07/24 12:19:30.768, 59.90 W
2026/07/24 12:19:31.768, 59.71 W
2026/07/24 12:19:32.768, 59.82 W
2026/07/24 12:19:33.769, 59.91 W
2026/07/24 12:19:34.769, 59.98 W
2026/07/24 12:19:35.769, 60.23 W
2026/07/24 12:19:36.769, 59.98 W
2026/07/24 12:19:37.769, 60.39 W
2026/07/24 12:19:38.769, 60.40 W
2026/07/24 12:19:39.769, 60.16 W
2026/07/24 12:19:40.769, 60.33 W
2026/07/24 12:19:41.769, 60.04 W
2026/07/24 12:19:42.770, 60.13 W
2026/07/24 12:19:43.770, 60.30 W
2026/07/24 12:19:44.770, 60.12 W
2026/07/24 12:19:45.770, 60.22 W
2026/07/24 12:19:46.770, 60.02 W
2026/07/24 12:19:47.770, 60.27 W
2026/07/24 12:19:48.770, 60.02 W
2026/07/24 12:19:49.770, 60.46 W
2026/07/24 12:19:50.770, 60.18 W
2026/07/24 12:19:51.770, 59.96 W
2026/07/24 12:19:52.771, 60.13 W
2026/07/24 12:19:53.771, 60.22 W
2026/07/24 12:19:54.771, 60.25 W
2026/07/24 12:19:55.771, 60.09 W
2026/07/24 12:19:56.771, 60.03 W
2026/07/24 12:19:57.771, 60.26 W
2026/07/24 12:19:58.771, 59.99 W
2026/07/24 12:19:59.771, 60.30 W
2026/07/24 12:20:00.771, 60.18 W
2026/07/24 12:20:01.771, 60.13 W
2026/07/24 12:20:02.772, 60.20 W
2026/07/24 12:20:03.772, 60.25 W
2026/07/24 12:20:04.772, 60.30 W
2026/07/24 12:20:05.772, 60.02 W
2026/07/24 12:20:06.772, 60.07 W
2026/07/24 12:20:07.772, 60.03 W
2026/07/24 12:20:08.772, 60.06 W
2026/07/24 12:20:09.772, 60.07 W
2026/07/24 12:20:10.772, 60.24 W
2026/07/24 12:20:11.773, 60.28 W
2026/07/24 12:20:12.773, 60.06 W
2026/07/24 12:20:13.773, 60.28 W
2026/07/24 12:20:14.773, 60.18 W
2026/07/24 12:20:15.773, 59.82 W
2026/07/24 12:20:16.773, 60.26 W
2026/07/24 12:20:17.773, 59.88 W
2026/07/24 12:20:18.773, 60.13 W
2026/07/24 12:20:19.773, 60.07 W
2026/07/24 12:20:20.773, 60.33 W
2026/07/24 12:20:21.774, 60.14 W
